Day,Anime: (Australia)
2023-12-31,81
2024-01-07,80
2024-01-14,76
2024-01-21,75
2024-01-28,70
2024-02-04,74
2024-02-11,70
2024-02-18,74
2024-02-25,71
2024-03-03,81
2024-03-10,72
2024-03-17,72
2024-03-24,78
2024-03-31,87
2024-04-07,81
2024-04-14,77
2024-04-21,77
2024-04-28,77
2024-05-05,76
2024-05-12,75
2024-05-19,78
2024-05-26,82
2024-06-02,80
2024-06-09,79
2024-06-16,78
2024-06-23,80
2024-06-30,85
2024-07-07,83
2024-07-14,83
2024-07-21,83
2024-07-28,72
2024-08-04,79
2024-08-11,76
2024-08-18,83
2024-08-25,87
2024-09-01,84
2024-09-08,92
2024-09-15,89
2024-09-22,89
2024-09-29,89
2024-10-06,91
2024-10-13,93
2024-10-20,88
2024-10-27,88
2024-11-03,81
2024-11-10,90
2024-11-17,87
2024-11-24,84
2024-12-01,83
2024-12-08,85
2024-12-15,84
2024-12-22,95
2024-12-29,100
