Day,Anime Search Index
2024-12-29,100
2025-01-05,97
2025-01-12,97
2025-01-19,93
2025-01-26,91
2025-02-02,85
2025-02-09,80
2025-02-16,85
2025-02-23,78
2025-03-02,73
2025-03-09,77
2025-03-16,80
2025-03-23,82
2025-03-30,91
2025-04-06,92
2025-04-13,96
2025-04-20,88
2025-04-27,75
2025-05-04,74
2025-05-11,79
2025-05-18,78
2025-05-25,80
2025-06-01,80
2025-06-08,77
2025-06-15,77
2025-06-22,81
2025-06-29,85
2025-07-06,93
2025-07-13,86
2025-07-20,79
2025-07-27,76
2025-08-03,78
2025-08-10,79
2025-08-17,80
2025-08-24,77
2025-08-31,72
2025-09-07,77
2025-09-14,86
2025-09-21,85
2025-09-28,87
2025-10-05,83
2025-10-12,86
